"landCover";"user_login";"species";"longitude";"latitude";"time_observed_at";"iNat_tag";"image_url";"url";"num_identification_agreements";"num_identification_disagreements";"quality_grade";"positional_accuracy";"genus";"cell";"AgreeRate";"trustable";"annotation";"protecArea";"alienControl";"count";"year";"dToRiverM";"dToCanalM";"landParcel";"landParcel_clean";"parcel_resid";"parcel_business";"parcel_road";"parcel_agri";"parcel_open";"nParcelType";"nReviews";"tagged";"tagFreq";"nObs";"nSp";"lnObs";"lnSp";"y";"visu_ctx_anthropized";"visu_ctx_bw";"visu_ctx_intothewild";"visu_ctx_montage";"visu_ctx_uniform_background_macro_dissection";"visu_ctx_with_human_body_presence";"visu_for_amphibian";"visu_for_bird";"visu_for_digitaldocs";"visu_for_drawingbw";"visu_for_drawingcolor";"visu_for_fish";"visu_for_food";"visu_for_humanmade";"visu_for_invertebrate";"visu_for_landscape";"visu_for_mammal";"visu_for_man";"visu_for_microscopy";"visu_for_mushroom";"visu_for_reptile";"visu_for_bark";"visu_for_branch";"visu_for_bud";"visu_for_flower";"visu_for_fruit";"visu_for_habit";"visu_for_herbarium";"visu_for_leaf";"visu_for_roots";"visu_for_seeds";"visuOld_ctx_garden_park";"visuOld_ctx_graph";"visuOld_ctx_indoor";"visuOld_ctx_into_the_wild";"visuOld_ctx_landscape";"visuOld_ctx_map";"visuOld_ctx_microscopy";"visuOld_ctx_photobw";"visuOld_ctx_photomontage";"visuOld_ctx_plantillustrationbw";"visuOld_ctx_plantillustrationcolor";"visuOld_ctx_sheet";"visuOld_ctx_terrace_balcon";"visuOld_ctx_uniform_background";"visuOld_ctx_urban_building_road";"visuOld_ctx_urban_ground_wall";"visuOld_for_amphibian";"visuOld_for_bark";"visuOld_for_branch";"visuOld_for_bud";"visuOld_for_fish";"visuOld_for_flower";"visuOld_for_food";"visuOld_for_fruit";"visuOld_for_graph";"visuOld_for_habit";"visuOld_for_hand";"visuOld_for_humanmade";"visuOld_for_invertebrate";"visuOld_for_leaf";"visuOld_for_mammal";"visuOld_for_man";"visuOld_for_map";"visuOld_for_microscopy";"visuOld_for_mushroom";"visuOld_for_reptile";"visuOld_for_scan";"simple_lc";"lc_glob"
1;"tonyrebelo";"Hypericum canariense";18.44127;-33.97708;"";"wild";"https://inaturalist-open-data.s3.amazonaws.com/photos/15247582/medium.jpg?1523643822";"https://www.inaturalist.org/observations/10865005";1;0;"research";-0.0694097210980817;"Hypericum";28588;0.5;TRUE;"wild";TRUE;FALSE;1;NA;151.655033795697;238.876324281245;NA;NA;FALSE;FALSE;FALSE;FALSE;FALSE;0;1;TRUE;0.0133319336552593;1.47404806554927;1.42880571725596;1.27091430200337;1.13324000238453;0;0.277086114453357;0.49139264221687;-0.85363019176875;1.57921043418114;0.556832406928367;-0.195194499799596;-0.0490640351966123;-0.309592811965384;-0.132689801019517;-0.232286497809687;-0.394227697803988;0.422161281286044;0.0306489645994838;-0.0903986354135552;-0.0547450178483887;2.20527002308783;0.100178639749273;0.75514304348618;0.241278657820594;-0.66894208946489;1.70369452167928;-0.244357662369082;-0.520633432873655;-0.280513137634142;-0.432535549975477;-0.28642921409943;-0.8334169478818;-0.0789442257898074;-0.373956731666243;-0.23571480165272;0.252856065271834;-0.359193005924214;-0.0635242754292231;-0.161803430598956;-0.864780430942096;1.45008991671098;-0.0283820057062493;-0.0612764508175021;-0.0585279024161738;-0.0981256740330434;-0.0505362936338674;-0.0601692048942233;-0.0966109749319976;-0.208800451406436;-0.0962509157864492;-0.280641061039408;-0.254519411895467;-0.00108423133157891;-0.141103944252225;-0.321971282212534;-0.0321095183993262;-0.0451421233525875;-0.375185024011997;-0.0352935508259829;-0.292932893791502;0.8980906723072;0.958107824416492;-0.0958440702119073;-0.318170919363751;-0.0410768591424094;-0.449447208542481;0.099426118151138;0.175268970861485;-0.0340732138456115;-0.00672360153347007;-0.0264380535088942;0.558737587481042;-0.0513534480575966;"Natural Wooded Land";190
1;"tonyrebelo";"Hypericum canariense";18.44485;-33.97307;"2019-04-26 05:44:00 UTC";"wild";"https://inaturalist-open-data.s3.amazonaws.com/photos/35983222/medium.jpeg?1556312573";"https://www.inaturalist.org/observations/23234178";1;0;"research";-0.0651287797981637;"Hypericum";28133;0.5;TRUE;"wild";TRUE;FALSE;1;2019;214.701539737799;525.939431711814;NA;NA;FALSE;FALSE;FALSE;FALSE;FALSE;0;1;TRUE;0.0133319336552593;1.47404806554927;1.42880571725596;1.27091430200337;1.13324000238453;0;-1.30029188841649;0.235379949416537;0.669664326959726;-0.490346287426642;-0.276805017014101;1.90894941913202;1.1147386476411;0.608169947995148;0.110731698722172;0.417492553324468;0.641730429887142;0.506728915332429;0.0226119433039918;-0.0615110958826116;0.0109597177219781;-0.435737270173489;0.0265389541315473;-0.303375061537673;1.23545477048703;0.988871834142493;2.30642457184029;-0.260406913232289;-0.522511498367664;0.39705851358283;-0.205252569193087;-0.223074262964483;1.05142818963824;0.0645719762115902;-0.0549379823602474;1.4508539304164;0.347288002906935;-0.359329717702064;-0.0633010142149295;-0.16180318282045;1.16615283130845;-0.595009859066182;-0.0283785041361567;-0.0563297560261245;-0.0584558672692921;-0.0957558491547198;-0.0504814531499773;-0.0602963002846352;-0.0964748765950487;-0.208801738201116;-0.0962475103501533;-0.280829129384937;-0.254509427379012;-0.160818536442674;-0.203515395202292;-0.352203038525333;-0.0360028922117144;-0.0491024230481947;-0.36041789356082;-0.0525876616764085;-0.285601059369433;-0.164121947870977;1.14717729707053;-0.203449730897456;-0.397017344555161;-0.0455564391630471;-0.445438835152984;-0.0711420016985909;-0.132837526449694;-0.107030630715115;-0.0328534469933696;-0.0391865912336826;-0.113311660305832;-0.0590010484740726;"Natural Wooded Land";190
1;"tonyrebelo";"Centranthus ruber";18.39652;-34.03835;"2018-10-02 13:55:00 UTC";"wild";"https://inaturalist-open-data.s3.amazonaws.com/photos/26619892/medium.jpeg?1539531045";"https://www.inaturalist.org/observations/17502031";1;0;"research";-0.0583693987982933;"Centranthus";36319;0.5;TRUE;"wild";TRUE;FALSE;1;2018;39.611117524742;1143.35204308435;"Agricultural";"Agricultural";FALSE;FALSE;FALSE;TRUE;FALSE;1;1;TRUE;0.0133319336552593;1.47404806554927;1.42880571725596;1.27091430200337;1.13324000238453;0;0.378089403648294;-0.603078443647445;-0.594540747492983;1.10353691663462;-0.282330384362234;-0.142994701446017;-0.879110147430377;-0.466358743054963;-0.585972915632704;-0.48766115440772;-1.13503448294957;-0.642943336481602;-0.598202770530942;-0.174423046957363;-0.140319071429725;-0.459777007942946;-0.162064885686506;-0.329181949072803;-1.47083597081892;-1.05212199269152;-1.10716600151822;-0.283756690722634;-0.5254552979185;-0.871518461536406;-0.256127277550783;-0.273347063150194;1.65261043821367;-0.417574110549525;-0.403060181536122;-0.846363597421562;-0.55888873401965;-0.359396429864897;-0.0635288570999201;-0.161798994251654;1.3762358635427;-0.80716380490615;-0.0283880829110501;-0.0613198179937252;-0.0585543798973854;-0.0981059278122313;-0.0505540250441325;-0.0603203996530252;-0.0966245692339178;-0.208805819325425;-0.0962502049251133;-0.280840840242037;-0.251845785279701;-0.144653673201963;-0.284640296997547;-0.34846941205242;-0.0358454225700532;-0.0490175455158485;-0.130044654263225;-0.0525642886798316;-0.292768011824997;-0.171918819526951;1.0287272296179;-0.209480479543484;-0.397984537906416;-0.0453331280410459;-0.437178939733444;-0.0709286366628353;-0.132502086878774;-0.106792258371609;-0.0537819697859533;-0.039111030252068;-0.114361791192655;-0.0590058103441603;"Natural Wooded Land";90
1;"tonyrebelo";"Phoenix canariensis";18.44446;-33.96812;"2019-04-26 06:04:00 UTC";"wild";"https://inaturalist-open-data.s3.amazonaws.com/photos/35994799/medium.jpeg?1556314872";"https://www.inaturalist.org/observations/23234853";1;0;"research";-0.0651287797981637;"Phoenix";27449;0.5;TRUE;"wild";TRUE;FALSE;1;2019;23.5901602082457;730.60669388866;"Open Space 2 : Public Open Space";"Open Space 2 : Public Open Space";FALSE;FALSE;FALSE;FALSE;TRUE;1;1;TRUE;0.0133319336552593;1.47404806554927;1.42880571725596;1.27091430200337;1.13324000238453;0;-1.35082391618386;1.18602898471563;1.5551010091255;-0.56689320569558;-0.172224339866684;0.0450688180018107;2.09020383653672;-0.22136757157193;0.535712890760824;0.321941029989954;1.32285919060908;0.385193667938637;0.0491507520425071;-0.109360724553206;-0.00211191376308676;-0.431796910958066;-0.0534068140721243;-0.286782657167373;-0.0995712326748406;0.937898265468418;1.08710746583526;0.257114405107547;0.970586662727517;1.10869112362241;-0.397523739691254;-0.18880180707796;0.0701977057639671;0.305076183946214;-0.247791738158092;4.0644564438076;0.455334492365183;-0.358633994764445;-0.0634511961876685;-0.161805316636246;0.965494274587534;-0.393206480086294;-0.02836312564175;-0.0611226137785262;-0.0584717803896703;-0.0981222055568396;-0.0503736520678827;-0.060312240968256;-0.0965067811888421;-0.208640847292066;-0.0962507924483313;-0.280833248795259;-0.254141559160332;-0.150682733269217;0.0193787172642444;-0.253019794832202;-0.0358447158038658;-0.0482833666223224;-0.38829217903435;-0.0523787247121334;-0.257827799210434;-0.0957530742888597;0.917238395836248;-0.160816197849314;-0.391335758455362;-0.0452291529589489;-0.228106269709562;-0.0705309645829718;-0.132424391596707;-0.100571276783495;-0.0328854219472552;-0.0368690247528974;-0.0170804350889619;-0.0560988749139175;"Natural Wooded Land";190
2;"tonyrebelo";"Centranthus ruber";18.40684;-34.02385;"2020-11-05 15:10:00 UTC";"wild";"https://inaturalist-open-data.s3.amazonaws.com/photos/103918861/medium.jpeg?1605042019";"https://www.inaturalist.org/observations/64624160";1;0;"research";-0.0673819067981205;"Centranthus";34500;0.5;TRUE;"wild";TRUE;FALSE;1;2020;8.12902107553179;712.897515138145;"Open Space 2 : Public Open Space";"Open Space 2 : Public Open Space";FALSE;FALSE;FALSE;FALSE;TRUE;1;1;TRUE;0.0133319336552593;1.47404806554927;1.42880571725596;1.27091430200337;1.13324000238453;0;-0.0159821544992386;0.969278819077304;-0.892829718571318;1.75584144605154;-0.251788283243865;0.574976218042758;1.53251275383819;1.3024744687431;0.643693744986772;1.27275643346832;1.30061824396127;0.733372019629267;0.781004595426133;-0.0965664212009119;0.0428222245124204;-0.365799058625988;0.0220267732099037;1.08273903591367;1.98337439351321;0.863430188432891;0.799193540139727;3.05189786701907;-0.513607466054252;1.72027890314355;-0.299689062188681;-0.220375839732939;-0.360417037942841;1.13979665132343;-0.385618370245527;1.73648650534263;0.564280833200263;0.352202942741066;-0.0628339732811463;-0.161353673087894;-0.837583214790165;1.03488327496283;-0.0255687999193122;-0.0606262817970519;-0.0582062283232656;-0.0978787620890524;-0.0496509914187057;-0.0596430728630049;-0.096532081828436;-0.207323584463824;-0.0961727508089041;-0.278133859222715;-0.238325871138564;-0.162204700325311;-0.282909138703759;-0.324629582600325;-0.0360009249368933;-0.0490933119251257;-0.0725922076077444;-0.0525860301492559;-0.284809049589305;-0.171646163791894;0.994585005632095;-0.208950246668482;-0.39758316344685;-0.0455438273232307;-0.455396657503448;-0.0711224442820547;-0.132644714871299;-0.10722565780987;-0.0540633353550691;-0.0392184881196132;-0.115871266796971;-0.0590277697988904;"Natural Wooded Land";90
2;"jeremygilmore";"Centranthus ruber";18.42998;-34.02094;"2020-02-27 09:19:00 UTC";"wild";"https://inaturalist-open-data.s3.amazonaws.com/photos/62792429/medium.jpeg?1583419551";"https://www.inaturalist.org/observations/39571482";1;0;"research";-0.0673819067981205;"Centranthus";34055;0.5;TRUE;"wild";FALSE;FALSE;1;2020;499.542787018309;69.4504673419383;"Open Space 2 : Public Open Space";"Open Space 2 : Public Open Space";FALSE;FALSE;FALSE;FALSE;TRUE;1;1;TRUE;0.0872093023255814;-0.356314734422738;0.335742949375168;0.693418062174157;0.834402029275296;0;0.0919269781563472;-0.307238446835691;-0.6987750718012;0.132362406444302;-0.195084562803577;1.24845328714747;-0.237758369990455;-0.535618418718131;-0.673354672115087;-0.318015485633796;-0.0049064525781838;0.180009955486578;1.17548399359051;-0.159024312523946;-0.0586414296882913;-0.390703250622759;-0.13612449521333;-0.0325369053530978;-0.464864913873679;-0.183741544020883;-0.433487977783504;-0.12695542316007;-0.517993428776839;-0.0383062926097241;-0.395181884611306;-0.270465215276996;1.40041574226973;-0.208769214697264;-0.374195689792764;0.168847646704675;-0.134718195446202;-0.359408650618079;-0.063481456748136;-0.16180588109435;-0.790960875233197;1.37512934380265;-0.0283870888800629;-0.0613035828120093;-0.0585554247114264;-0.0913898376777462;-0.0505706263609711;-0.0603198050717187;-0.0965241785394286;-0.208805919165812;-0.0962399614843302;-0.280837502804674;-0.254528676101573;-0.162171610560967;-0.272621507316386;-0.156389409931243;-0.0360072560594222;-0.0490907824425377;-0.392671313943626;-0.052592244457207;-0.258703133114038;-0.172241136907169;1.09930251193402;-0.212328505727803;-0.397523646915865;-0.0455634204707632;-0.396517146031869;-0.0711612391763947;-0.132925687186734;-0.107267105103345;-0.0543973136432627;-0.0392180153275507;-0.116204633155542;-0.0590340615934046;"Natural Wooded Land";190
2;"tonyrebelo";"Schinus terebinthifolia";18.44324;-34.04028;"2021-07-01 13:35:00 UTC";"wild";"https://inaturalist-open-data.s3.amazonaws.com/photos/143211818/medium.jpeg?1626201255";"https://www.inaturalist.org/observations/86895371";1;0;"research";-0.0673819067981205;"Schinus";36569;0.5;TRUE;"wild";FALSE;FALSE;1;2021;11.6604428772645;301.642429736295;"Open Space 2 : Public Open Space,Open Space 2 : Public Open Space,Transport 2 : Public Road and Public Parking,Transport 2 : Public Road and Public Parking,Transport 2 : Public Road and Public Parking,Transport 2 : Public Road and Public Parking,Transport 2 : Public Road and Public Parking,Transport 2 : Public Road and Public Parking,Open Space 2 : Public Open Space";"Open Space 2 : Public Open Space,Transport 2 : Public Road and Public Parking";FALSE;FALSE;TRUE;FALSE;TRUE;2;1;TRUE;0.0133319336552593;1.47404806554927;1.42880571725596;1.27091430200337;1.13324000238453;0;0.947165048725693;-0.291050511033923;-0.815918531954208;0.0588849063155717;-0.024714996447009;-0.437167664207627;0.189724513150057;-0.360904436017864;-0.0316098136316793;-0.00186614389962835;-0.144269254107225;0.0160367474374933;-0.205441270730628;-0.12431430417326;-0.0654604110461568;2.18417023675683;-0.0917544756799415;0.522930979245925;0.163496455460399;-0.164335866518419;-0.163583302718767;-0.277169694157401;-0.507963097887382;-0.136013820397316;-0.432198840330924;-0.282228503935276;-0.695565608316224;-0.0828683894936722;-0.378588473259075;-0.0482213948073905;0.0453833082461165;-0.359343596125996;-0.0635262593493493;-0.161802580963949;-0.865882381900975;1.4513579497736;-0.0283880055381591;-0.0613168733796773;-0.0584965644867741;-0.0981271796098711;-0.0505678337444037;-0.0603032008711393;-0.0966361943729677;-0.208805906937484;-0.096244551079548;-0.280789209461416;-0.254530010793121;-0.158972472710472;-0.115496678990103;-0.341926364763536;-0.0359758332635367;-0.0490818402568766;-0.423552447758045;-0.0524085009047104;-0.292473893653685;-0.151846907780164;1.16567852390028;-0.207686549889783;-0.394989418524104;-0.0455516361908297;-0.455727971913182;-0.0691676439215601;-0.116779109678164;-0.10700351420946;-0.0534191837774247;-0.0391176454282312;-0.115296776549907;-0.0584420615478212;"Natural Wooded Land";190
2;"jeremygilmore";"Centranthus ruber";18.41984;-33.99705;"2020-02-27 08:07:00 UTC";"wild";"https://inaturalist-open-data.s3.amazonaws.com/photos/62732344/medium.jpeg?1583340129";"https://www.inaturalist.org/observations/39534715";0;0;"research";-0.0673819067981205;"Centranthus";31086;0;TRUE;"wild";TRUE;FALSE;1;2020;18.1479565949462;1694.49871648855;"Agricultural,Agricultural,Agricultural,Agricultural,Agricultural,Agricultural,Agricultural,Single Residential 1 : Conventional Housing,Transport 2 : Public Road and Public Parking,Transport 2 : Public Road and Public Parking,Transport 2 : Public Road and Public Parking,Transport 2 : Public Road and Public Parking";"Agricultural,Single Residential 1 : Conventional Housing,Transport 2 : Public Road and Public Parking";TRUE;FALSE;TRUE;TRUE;FALSE;3;0;TRUE;0.0872093023255814;-0.356314734422738;0.335742949375168;0.693418062174157;0.834402029275296;0;-0.60593610970084;2.17797425549323;-0.655104946107332;1.56402477788049;0.101422396864559;1.17154756981147;0.106809781885969;-0.659785024693409;-0.0363859118311702;1.11393340517259;0.983166243570597;0.188124537544242;-0.0106547797842385;-0.123400843167385;-0.0608901723964554;-0.437659206011827;-0.140105349865158;-0.256955754429401;-0.633574562983331;0.0708814791317168;-0.159656953449864;1.23500629318806;-0.507258959329816;-0.137389542535653;-0.399424427427473;-0.260139699168643;0.981170730176163;0.407983098396906;-0.356315063364458;0.0514792328249152;0.306677221819042;-0.359411644745586;-0.0635260363648512;-0.16180521078316;1.21312410704014;-0.642007226435255;-0.0283875684658053;-0.0613287216612045;-0.0585266733371122;-0.0980770666179288;-0.0505690469239393;-0.0603220979659877;-0.0965230946842675;-0.208533354501512;-0.0962331192912311;-0.280845238361815;-0.254529086317753;-0.10219132006575;0.158969564420382;-0.333543912599969;-0.0342755311781739;-0.0485534824713447;-0.399596486494788;-0.0490211470956938;-0.290920503908805;-0.143719385086977;0.868962140930323;-0.175441136507802;-0.394704130261789;-0.0442283995109289;-0.129508837518915;-0.0702688257200799;-0.131688396146883;-0.0923708682606367;-0.0495354531945783;-0.0375728086416396;0.0364232017329317;-0.0535770900681832;"Natural Wooded Land";40
2;"fynbosphil";"Spartium junceum";18.45401;-33.98034;"";"wild";"https://inaturalist-open-data.s3.amazonaws.com/photos/15671103/medium.jpg?1524019607";"https://www.inaturalist.org/observations/11095070";2;0;"research";-0.0694097210980817;"Spartium";29050;0.666666666666667;TRUE;"doubtful";FALSE;FALSE;1;NA;289.833110523281;11.6346423517894;"Open Space 2 : Public Open Space";"Open Space 2 : Public Open Space";FALSE;FALSE;FALSE;FALSE;TRUE;1;2;TRUE;0.0733590733590734;-0.68175590160252;-0.556482520077689;-0.095102584891321;0.196359271285829;0.5;-1.26611525422232;-1.2122483085957;-0.910067426549641;-0.588157069267336;-0.21594293059767;5.38191320611613;0.190551917782712;-0.271483684458154;-0.103753398920951;0.0758293308317293;1.01915845780655;-0.36758223224491;0.158220935472829;-0.128722093743295;0.0898389029604396;-0.443496643987934;-0.131246886477995;-0.290831151443219;0.697674539402037;0.209925445908407;0.278463197865445;-0.025566894696371;0.711788746288578;-0.517240421167871;-0.157955141579741;-0.0427893873402999;-0.250376475407473;0.349282430546153;0.560465887396517;1.99479144500989;0.212019977359848;-0.357164193664552;-0.0631530988525347;-0.161794602409127;0.070396288446806;0.501180303369261;-0.0283814827854242;-0.0597752956656637;-0.0468946980024786;-0.0873028758709996;-0.0496697184531655;-0.0597160120257221;-0.0416368948211972;-0.208792246439096;-0.0904045599150062;-0.279840748198733;-0.254433612869795;-0.158994035872725;1.60576674644308;0.23452025061642;-0.0357981397054176;-0.0489622177117635;-0.321608588732269;-0.0524959545786064;-0.0934672273511508;-0.169455125001175;-0.61974853406156;-0.143674325723711;-0.397852517965943;-0.0455105308048373;1.21990719233172;-0.0711344262368481;-0.13291439172758;-0.105953740274513;-0.0532147222299505;-0.0390105844458277;-0.11365980238181;-0.0517076455511654;"Natural Wooded Land";190
2;"tonyrebelo";"Phoenix canariensis";18.43836;-34.0069;"";"wild";"https://inaturalist-open-data.s3.amazonaws.com/photos/15297903/medium.jpg?1523686174";"https://www.inaturalist.org/observations/10889559";1;0;"research";-0.0694097210980817;"Phoenix";32234;0.5;TRUE;"doubtful";FALSE;FALSE;1;NA;122.296436943061;42.1288551977702;"Open Space 2 : Public Open Space";"Open Space 2 : Public Open Space";FALSE;FALSE;FALSE;FALSE;TRUE;1;1;TRUE;0.0133319336552593;1.47404806554927;1.42880571725596;1.27091430200337;1.13324000238453;0.5;0.645780808821618;0.01298618934115;-0.611636032069891;-0.349749359714227;1.67018645762449;-0.502465699378156;-1.25504258754358;-1.31253272291176;-0.94623579607854;-0.509399698375882;-0.254606147753262;-0.819658063000069;-0.431901512764455;-0.1630837138633;-0.0839659792777441;-0.455998131586611;-0.15768333274751;-0.339680378614394;-1.29082811210733;-0.823385032325609;0.00530830753571734;-0.258901713716775;-0.462167650090894;-0.890674059337729;-0.361032251192662;-0.25391145031195;-1.13098976991797;-0.513155881217143;4.36492800917856;-0.867548853878318;-0.223218887939589;3.85148674408809;-0.0635258094524321;-0.161801291255305;-0.866054543414654;-0.806850990424218;-0.0283869686497435;-0.0613241082402541;-0.058553941237501;-0.098126951118824;-0.0505518594055706;-0.0602663989621571;-0.09250796720295;-0.176547445232476;-0.0958238158398249;-0.28084505327112;-0.25451766357797;-0.142111133568042;-0.288152554825845;-0.361072344295765;-0.0360096869944479;-0.0489783865400687;-0.427463192119247;-0.0519642694233581;-0.291912077991437;-0.16867879069895;-1.08060225232529;-0.207760996122855;-0.394686331900988;-0.0455487768532545;3.32824145096735;-0.071127636449247;-0.132776083976766;-0.107348496258729;-0.0544465794151126;-0.0392143627179136;-0.115666503962526;-0.0498523757918715;"Natural Wooded Land";190
