"sppid";"Name";"Family";"CommonName";"Name";"Native/Invasive";"nemba";"EDRR target species (www.CTinvasives.co.za)";"Diagnostics";"Peninsula Notes"
202;"Agapanthus praecox ";"AGAP";"Agapanthus";"Agapanthus praecox ";"Extralimital";;;"Typical Agapanthus flowers; large, purple";"Mainly in gardens; planted around buildings; hybridizes with local species in veld "
246;"Brachylaena discolor ";"ASTE";"Coast Silver Oak";"Brachylaena discolor ";"Extralimital";;;"Leaf lanceolate to obovate, dark green above margin entire or irregularly toothed; flowers discoid, cream";"Not recorded in 1950"
247;"Brachylaena elliptica ";"ASTE";"Bitterleaf";"Brachylaena elliptica ";"Extralimital";;;"Leaf lanceolate to elliptic, aromatic, white-felt below; flowerheads discoid, cream";"Not recorded in 1950"
279;"Ceratotheca triloba ";"PEDA";"Wild Foxglove";"Ceratotheca triloba ";"Extralimital";;;"Annual, tall; leaf green soft, 3 lobes with toothed margins; flowerheads tall, sparsely flowered spikes, with only a few flowers at a time; flowers tubular mauve or white, lower lip with purple lines";"Escape from Kirstenbosch; Not recorded in 1950"
295;"Chlorophytum capense ";"ANTH";"Spider Plant";"Chlorophytum capense ";"Extralimital";;;"Stems short fleshy, roots slender; leaves flat, with a keel below; flowerheads branched; bracts shorter than stalks; petals spreading";"Under trees or by streams; rare; Groote Schuur and Newlands estates"
301;"Cleome monophylla";"CAPP";"Spindlepod";"Cleome monophylla";"Extralimital";;;"Annual, erect, branched; taproots long";"Not recorded in 1950"
38;"Dichondra micrantha";"CONV";"Wonderlawn";"Dichondra micrantha";"Extralimital";;;"Prostrate herb; stems slender, rooting; leaf circular; flowers small, stalked, sepals silky outside; fruit a hairy, 2-lobed capsule";"Lawn plant; weed in moist and shady areas; was D. repens"
339;"Ekebergia capensis";"MELI";"Cape Ash";"Ekebergia capensis";"Extralimital";;;"Young branches with white lenticels; leaf straight, base asymmetric, usually hairless; flowers in lax panicles, sexes on separate plants; fruit fleshy, pink to red when ripe; cf Harpephyllum - with curved leaflets and watery sap";"Widely planted as 'indigenous' - coppices from roots far from parent"
347;"Erodium botrys ";"GERA";"Longbeak Storksbill";"Erodium botrys ";"Extralimital";;;"Annual, ascending, bristly hairs; leaf deeply 3-4 lobed, uppermost toothed; flowerheads glandular hairy, 1-4 flowers; petals twice as long as sepals; fruit beak 80-100mm long";"Roadside; local; Pinelands and Ndabeni"
383;"Harpephyllum caffrum";"ANAC";"Wild Plum";"Harpephyllum caffrum";"Extralimital";;;"Leaves at ends of branches, spiralled, asymmetrical; cf Ekebergia";"Not recorded in 1950"
399;"Indigofera torulosa var. torulosa";"FABA";"Contorted Pea";"Indigofera torulosa var. torulosa";"Extralimital";;;"Herb; leaflets without stipules; calyx irregular with 2 upper teeth rounded and wide; pod hairy, flat";"Waste areas; Pinelands"
88;"Ipomoea cairica var. cairica";"CONV";"Mile-a-minute Vine";"Ipomoea cairica var. cairica";"Extralimital";;;"Perennial, tuberous rootstock; stems twining; flowers with dark centre";"From SAPIA 2010"
62;"Xysmalobium undulatum";"APOC";"Wavyleaf Cotton";"Xysmalobium undulatum";"Extralimital";;;"Perennial, 1.8m erect, robust stems from rootstock; leaf leathery, l80-270mm long; flowers greenish; petal tips recuved, dense bearded inside; fruit large, inflated, long hairs; cotton seeds";"roadside weed recorded from Cape Peninsula; indigenous to Grassveld"
412;"Lapsana communis ";"ASTE";"Nipplewort ";"Lapsana communis ";"insufficiently known";;;"Annual, erect; leaf occ. pinnately lobed at base; flowerheads small, in branched clusters, opening only in bright sunlight, involucral bracts hairless, except for minute hairs at tip";"Waste areas; rare; Claremont"
86;"Acacia adunca";"FABA";"Wallangara Wattle";"Acacia adunca";"Invasive";"1a";;"Phyllodes dark green, oily, pendulous 60-100mm long, 1-3mm wide; flowers spherical, in large racemes, flowering prolonged; fruit straight, swollen over seeds";"From SAPIA 2010; grows on granites in Australia"
128;"Acacia baileyana ";"FABA";"Baileys Wattle";"Acacia baileyana ";"Invasive";3;"not listed";"Leaflets minute, grey or blue, 2-4 side branches, with glands at pinnae bases";"Not recorded in 1950"
129;"Acacia cyclops ";"FABA";"Rooikrans";"Acacia cyclops ";"Invasive";"1b";"not listed";"Phyllodes 3-5 veined from base; seeds in curly pods; galls like miniature pod cluster (spider-like); seeds black surrounded by red aril";"Very common on flats"
184;"Acacia dealbata ";"FABA";"Silver Wattle";"Acacia dealbata ";"Invasive";2;;"Leaves large, compact; leaflets minute, many, silver-grey to light green;  growth tips velvety, glands at pinnae bases; flowerheads globose, axillary, bright yellow";"Kirstenbosch and Newlands; not setting seed in 1950"
185;"Acacia elata ";"FABA";"Green Wattle";"Acacia elata ";"Invasive";"1b";"listed";"Large tree; side branches heavy, low; leaves and leaflets large (20-50mm long); flowerheads globular, pale yellow, large sprays ";"Granite Fynbos, roadsides, disturbed areas; occasional, but large impact; Kirstenbosch to Tokai; not recorded in 1950"
186;"Acacia implexa ";"FABA";"Screw-pod Wattle";"Acacia implexa ";"Invasive";"1a";"listed";"Phyllodes several veined, narrow, sickle shaped, pendulous, tip pointed; root coppicer with juvenile leaves doubly pinnate; pods strongly twisted; seed stalk white, not encircling seed seeds ";"Sandy soil; occasional, forming dense stands from root coppice; Tokai"
187;"Acacia longifolia ";"FABA";"Longleaf Wattle";"Acacia longifolia ";"invasive";"1b";"not listed";"Phyllodes 2-5 veined from base; Flowerheads elongate; galls round, smooth";"Very common on flats"
188;"Acacia mearnsii ";"FABA";"Black Wattle";"Acacia mearnsii ";"Invasive";2;"not listed";"Leaf compact; leaflets small, dark olive green, glands occur at and between pinnae on stalk;  flowerheads globose, terminal, pale yellow; cf Paraserianthus";"In 1950 casual on roadsides; Groote Schuur and Camps Bay"
189;"Acacia melanoxylon ";"FABA";"Australian Blackwood";"Acacia melanoxylon ";"Invasive";2;"not listed";"Phyllodes 3-7 veined at base, straight, erect, dark green; root coppicer with juvenile and coppice leaves doubly pinnate; seeds encircled by seed stalk pinkish-red";"Kloofs and forests; locally plentiful; Tokai, Devils Peak and Spilhaus Ravine"
190;"Acacia paradoxa ";"FABA";"Kangaroo Thorn";"Acacia paradoxa ";"Invasive";"1a";"listed";"Phyllodes small, wavy; spines slender, in pairs; pods with white woolly hairs";"Shale Fynbos; rare; lower slopes of Devils Peak"
191;"Acacia podalyriifolia ";"FABA";"Pearl Wattle";"Acacia podalyriifolia ";"Invasive";"1b";"listed";"New growth covered with grey powder and dense velvet hairs; leaf oval, silver-grey; pods twisted";"Sandy soil; occasional; Tokai"
192;"Acacia pycnantha ";"FABA";"Golden Wattle";"Acacia pycnantha ";"Invasive";"1b";"not listed";"Phyllodes sickle-shaped, single mid vein, pendulous, very broad when young; galls round, smooth";"Roadside; Wildschutsbrand, Devils Peak and Pinelands"
193;"Acacia saligna ";"FABA";"Port Jackson Wattle";"Acacia saligna ";"Invasive";"1b";"not listed";"Resprouter; leaves single veined, erect to pendulous, willow like;  galls irregularly cancer shaped";"Flats and hill slopes; very common"
87;"Acacia stricta";"FABA";"Hop Wattle";"Acacia stricta";"Invasive";"1a";"not listed";"Very erect tree with smooth bark; phyllodes 5-14mm long, single veined, hairless; flowerheads 2-4 in leaf axils; pods straight";"From SAPIA 2010; a problem in Knysna"
194;"Acacia subporosa ";"FABA";"Narrow-leaf Bower Wattle ";"Acacia subporosa ";"Invasive";"not listed";"not listed";"Branches often weeping; phyllodes with resinous bands, often sticky hairless (but margins minutely haired); flowerheads globose, 1-3 per leaf axil, yellow; pods straight";"Not recorded in 1950"
195;"Acacia viscidula ";"FABA";"Sticky Wattle";"Acacia viscidula ";"Invasive";"not listed";"not listed";"Phyllodes narrow (< 5mm), with 3-7 longitudinal veins, leaves and branchlets resinous and sticky, flowerheads globular, 1-2, axillary";"Not recorded in 1950"
196;"Acanthus mollis";"ACAN";"Bears Breeches";"Acanthus mollis";"Invasive";"not listed";"not listed";"Herbaceous perennial, oversummering as tubers; leaf deeply lobed and large; flowerheads to 2.5m tall; flowers partly hidden by spiny green-purple bracts, tubular, pale ";"Not recorded in 1950; mainly in moist disturbed areas in shade"
197;"Acer negundo ";"ACER";"Box Elder";"Acer negundo ";"Invasive";3;"not listed";"Leaf 3-7 foliate (rarely 1), bright green; flowers in drooping racemes; fruit with two membranous helicopter wings";"Not recorded in 1950; there are 3 subspecies - not sure which we have."
198;"Achyranthes aspera var. aspera";"AMAA";"Burweed";"Achyranthes aspera var. aspera";"Invasive";"not listed";"not listed";"Perennial, sprawling; branches striate; flowers in terminal, pinkish, spiky spikes up to 250mm long";"In shade and wetlands on lower slopes; occasional; Devils Peak, Table Mountain, Tokai"
200;"Adiantum raddianum";"PTER";"Rads Maidenhair Fern";"Adiantum raddianum";"invasive";"not listed";"not listed";"Fronds arching, 3-4 pinnate; indusial flaps kidney-shaped";"Not recorded in 1950"
125;"Agave americana var. americana";"AGAV";"Floppy American Agave";"Agave americana var. americana";"Invasive";3;"not listed";"Leaves green, with toothed margins, terminal spine, flopping downwards; fruit giving rise to bulbils";"Not recorded in 1950"
77;"Agave americana var. expansa";"AGAV";"Erect American Agave";"Agave americana var. expansa";"invasive";3;"not listed";"Leaves green, with toothed margins, terminal spine, erect; fruit giving rise to bulbils";"Not recorded in 1950"
126;"Agave sisalana";"AGAV";"Sisal";"Agave sisalana";"Invasive";"1b";"not listed";"Leaves light grey, terminal spine; fruit capsule ";"Not recorded in 1950"
